datetime,open,high,low,close,volume
2023-05-02,18124.8008,18180.25,18101.75,18147.6504,265200
2023-05-03,18113.8008,18116.3496,18042.4004,18089.8496,226200
2023-05-04,18081.0,18267.4492,18066.6992,18255.8008,226600
2023-05-05,18117.3008,18216.9492,18055.4492,18069.0,239700
2023-05-08,18120.5996,18286.9492,18100.3008,18264.4004,228400
2023-05-09,18303.4004,18344.1992,18229.6504,18265.9492,245400
2023-05-10,18313.5996,18326.75,18211.9492,18315.0996,220500
2023-05-11,18357.8008,18389.6992,18270.4004,18297.0,248900
2023-05-12,18273.75,18342.75,18194.5508,18314.8008,241700
2023-05-15,18339.3008,18458.9004,18287.9004,18398.8496,216100
2023-05-16,18432.3496,18432.3496,18264.3496,18286.5,219500
2023-05-17,18300.4492,18309.0,18115.3496,18181.75,229900
2023-05-18,18287.5,18297.1992,18104.8496,18129.9492,272100
2023-05-19,18186.1504,18218.0996,18060.4004,18203.4004,260900
2023-05-22,18201.0996,18335.25,18178.8496,18314.4004,262600
2023-05-23,18362.9004,18419.75,18324.1992,18348.0,270400
2023-05-24,18294.8008,18392.5996,18262.9492,18285.4004,232600
2023-05-25,18268.9004,18338.0996,18202.4004,18321.1504,235900
2023-05-26,18368.3496,18508.5508,18333.1504,18499.3496,198700
2023-05-29,18619.1504,18641.1992,18581.25,18598.6504,265300
2023-05-30,18606.6504,18662.4492,18575.5,18633.8496,234400
2023-05-31,18594.1992,18603.9004,18483.8496,18534.4004,696500
2023-06-01,18579.4004,18580.3008,18464.5508,18487.75,265600
2023-06-02,18550.8496,18573.6992,18478.4004,18534.0996,270900
2023-06-05,18612.0,18640.1504,18582.8008,18593.8496,256100
2023-06-06,18600.8008,18622.75,18531.5996,18599.0,220800
2023-06-07,18665.5996,18738.9492,18636.0,18726.4004,260100
2023-06-08,18725.3496,18777.9004,18615.5996,18634.5508,286500
2023-06-09,18655.9004,18676.6504,18555.4004,18563.4004,221800
2023-06-12,18595.0508,18633.5996,18559.75,18601.5,179500
2023-06-13,18631.8008,18728.9004,18631.8008,18716.1504,233200
2023-06-14,18744.5996,18769.6992,18690.0,18755.9004,261400
2023-06-15,18774.4492,18794.0996,18669.0508,18688.0996,263000
2023-06-16,18723.3008,18864.6992,18710.5,18826.0,272800
2023-06-19,18873.3008,18881.4492,18719.1504,18755.4492,219800
2023-06-20,18752.3496,18839.6992,18660.6504,18816.6992,211600
2023-06-21,18849.4004,18875.9004,18794.8496,18856.8496,217500
2023-06-22,18853.5996,18886.5996,18759.5,18771.25,252700
2023-06-23,18741.8496,18756.4004,18647.0996,18665.5,210600
2023-06-26,18682.3496,18722.0508,18646.6992,18691.1992,171300
2023-06-27,18748.5508,18829.25,18714.25,18817.4004,222500
2023-06-28,18908.1504,19011.25,18861.3496,18972.0996,398800
2023-06-30,19076.8496,19201.6992,19024.5996,19189.0508,247900
2023-07-03,19246.5,19345.0996,19234.4004,19322.5508,226100
2023-07-04,19406.5996,19434.1504,19300.0,19389.0,226900
2023-07-05,19405.9492,19421.5996,19339.5996,19398.5,224400
2023-07-06,19385.6992,19512.1992,19373.0,19497.3008,268300
2023-07-07,19422.8008,19523.5996,19303.5996,19331.8008,237100
2023-07-10,19400.3496,19435.8496,19327.0996,19355.9004,268200
2023-07-11,19427.0996,19515.0996,19406.4492,19439.4004,251300
2023-07-12,19497.4492,19507.6992,19361.75,19384.3008,327900
2023-07-13,19495.1992,19567.0,19385.8008,19413.75,310400
2023-07-14,19493.4492,19595.3496,19433.5,19564.5,291200
2023-07-17,19612.1504,19731.8496,19562.9492,19711.4492,268700
2023-07-18,19787.5,19819.4492,19690.1992,19749.25,286400
2023-07-19,19802.9492,19851.6992,19727.4492,19833.1504,259700
2023-07-20,19831.6992,19991.8496,19758.4004,19979.1504,274700
2023-07-21,19800.4492,19887.4004,19700.0,19745.0,312500
2023-07-24,19748.4492,19782.75,19658.3008,19672.3496,265600
2023-07-25,19729.3496,19729.3496,19615.9492,19680.5996,369700
2023-07-26,19733.3496,19825.5996,19716.6992,19778.3008,244700
2023-07-27,19850.9004,19867.5508,19603.5508,19659.9004,334900
2023-07-28,19659.75,19695.9004,19563.0996,19646.0508,258700
2023-07-31,19666.3496,19772.75,19597.5996,19753.8008,295100
2023-08-01,19784.0,19795.5996,19704.5996,19733.5508,298000
2023-08-02,19655.4004,19678.25,19423.5508,19526.5508,290700
2023-08-03,19463.75,19537.6504,19296.4492,19381.6504,315700
2023-08-04,19462.8008,19538.8496,19436.4492,19517.0,280800
2023-08-07,19576.8496,19620.4492,19524.8008,19597.3008,216600
2023-08-08,19627.1992,19634.4004,19533.0996,19570.8496,260300
2023-08-09,19578.8008,19645.5,19467.5,19632.5508,266500
2023-08-10,19605.5508,19623.5996,19495.4004,19543.0996,312200
2023-08-11,19554.25,19557.75,19412.75,19428.3008,235500
2023-08-14,19383.9492,19465.8496,19257.9004,19434.5508,243900
2023-08-16,19369.0,19482.75,19317.1992,19465.0,0
